Feature,Importance
bedrooms,0.14137379896248436
accommodates,0.111511195812792
dist_to_center,0.07534607803468212
beds,0.07335677186657202
longitude,0.05632608654473451
latitude,0.05430056267652849
bathrooms,0.04967661203083281
num_amenities,0.0427736162108139
scarcity,0.04164377171591942
avg_review_score,0.03847858461323614
minimum_nights,0.029343815928687095
location_premium,0.026624183455547377
room_type_Entire home/apt,0.02439425459276944
room_type_Private room,0.02276559623030797
kids’ entertainment,0.013764585711734487
neighbourhood_Södermalms,0.011187099790757644
parking,0.008428151950326966
dedicated workspace,0.00836996455415737
secure entry,0.00770978509566294
outdoor / view,0.006959099486966323
